,NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,단위면적가격,주소,위도,경도,행정동
0,2,서울특별시 성동구 마장동,3**,8m미만,35.25,월세,202411,29,"2,500",60.0,1992.0,마조로16길,202411~202611,신규,-,,,단독,1.702127659574468,마조로16길,37.5647881927541,127.043695462832,마장동
1,3,서울특별시 중구 신당동,5*,8m미만,46.33,월세,202411,29,"2,000",80.0,1994.0,다산로36다길,202501~202701,신규,-,,,다가구,1.7267429311461258,다산로36다길,37.5601540968871,127.019971261099,동화동
2,5,서울특별시 중구 신당동,4**,8m미만,22.0,월세,202411,29,"3,000",75.0,2017.0,동호로11가길,202411~202611,신규,-,,,다가구,3.409090909090909,동호로11가길,37.5530517545151,127.008376371195,다산동
3,7,서울특별시 용산구 후암동,3**,8m미만,51.89,월세,202411,29,"1,000",60.0,,두텁바위로,202412~202612,신규,-,,,다가구,1.1562921564848718,두텁바위로,37.5472916419929,126.981766703185,후암동
4,8,서울특별시 종로구 혜화동,7*,8m미만,33.0,월세,202411,29,"2,000",90.0,2006.0,혜화로6길,202501~202701,신규,-,,,다가구,2.727272727272727,혜화로6길,37.5884625109294,127.001339205529,혜화동
5,9,서울특별시 종로구 부암동,2**,8m미만,117.86,월세,202411,29,"20,000",200.0,2024.0,창의문로11길,202501~202601,신규,-,,,단독,1.696928559307653,창의문로11길,37.5937093273402,126.961879558921,부암동
6,11,서울특별시 광진구 중곡동,9*,8m미만,35.0,월세,202411,29,"12,000",40.0,2012.0,용마산로2길,202501~202701,신규,-,,,다가구,1.1428571428571428,용마산로2길,37.5552686600396,127.090070264273,중곡4동
7,12,서울특별시 광진구 중곡동,3*,8m미만,30.0,월세,202411,29,"1,000",65.0,1997.0,긴고랑로19길,202412~202612,신규,-,,,다가구,2.1666666666666665,긴고랑로19길,37.5624854848739,127.084560327748,중곡2동
8,14,서울특별시 광진구 자양동,6**,8m미만,23.1,월세,202411,29,500,57.0,1990.0,뚝섬로57길,202411~202611,신규,-,,,다가구,2.4675324675324672,뚝섬로57길,37.5331298975321,127.082998317731,자양1동
9,15,서울특별시 광진구 구의동,2**,25m이상,22.5,월세,202411,29,"1,000",55.0,1972.0,광나루로,202501~202701,신규,-,,,다가구,2.4444444444444446,광나루로,37.5450082243855,127.086520500375,구의2동
