NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,구_추출,상세주소,주소,위도,경도,행정동
1,서울특별시 광진구 자양동,6**,8m미만,33.0,전세,202411,28,"6,000",0,1977.0,뚝섬로44길,202502~202702,신규,-,,,다가구,광진구,광진구 뚝섬로44길,광진구 뚝섬로44길,37.5317388547446,127.07602060503,자양2동
2,서울특별시 도봉구 방학동,6**,8m미만,72.76,전세,202411,28,"15,000",0,1988.0,시루봉로22길,202411~202611,신규,-,,,다가구,도봉구,도봉구 시루봉로22길,도봉구 시루봉로22길,37.6686629659284,127.037895671958,방학2동
3,서울특별시 마포구 연남동,4**,8m미만,29.93,월세,202411,28,"1,000",48,1996.0,성미산로18길,202411~202611,갱신,-,"1,000",48.0,다가구,마포구,마포구 성미산로18길,마포구 성미산로18길,37.560878552738,126.91850757639,연남동
4,서울특별시 강서구 방화동,2**,25m미만,55.0,월세,202411,28,"1,000",50,1987.0,초원로,202411~202611,신규,-,,,다가구,강서구,강서구 초원로,강서구 초원로,37.5677908631317,126.810913479175,방화2동
5,서울특별시 동작구 상도동,2**,8m미만,18.08,전세,202411,28,"6,000",0,1985.0,성대로6가길,202411~202611,신규,-,,,단독,동작구,동작구 성대로6가길,동작구 성대로6가길,37.4960637671055,126.934469138783,상도3동
6,서울특별시 구로구 고척동,2**,8m미만,68.88,전세,202411,28,"15,000",0,1991.0,고척로41가길,202412~202612,갱신,-,"14,000",0.0,단독,구로구,구로구 고척로41가길,구로구 고척로41가길,37.5045988762646,126.850635003486,고척2동
7,서울특별시 서대문구 북아현동,1**,8m미만,26.4,월세,202411,28,200,40,1990.0,북아현로11가길,202411~202511,갱신,-,200,37.0,단독,서대문구,서대문구 북아현로11가길,서대문구 북아현로11가길,37.5630966172346,126.954281891962,충현동
8,서울특별시 광진구 구의동,5*,8m미만,40.03,전세,202411,28,"18,000",0,1970.0,자양로,202501~202701,신규,-,,,단독,광진구,광진구 자양로,광진구 자양로,37.5423709029766,127.084161029776,구의1동
9,서울특별시 영등포구 도림동,2**,8m미만,33.0,월세,202411,28,500,35,2006.0,도신로19길,202412~202612,신규,-,,,다가구,영등포구,영등포구 도신로19길,영등포구 도신로19길,37.5075393612879,126.90003490804,도림동
10,서울특별시 중랑구 면목동,3**,8m미만,40.0,월세,202411,28,500,40,1992.0,면목로72가길,202411~202611,신규,-,,,다가구,중랑구,중랑구 면목로72가길,중랑구 면목로72가길,37.5870752209836,127.089004442835,면목본동
11,서울특별시 용산구 이태원동,2**,8m미만,35.0,월세,202411,28,500,66,1990.0,회나무로28가길,202501~202701,갱신,-,500,63.0,다가구,용산구,용산구 회나무로28가길,용산구 회나무로28가길,37.5385415440144,126.991909253199,이태원2동
12,서울특별시 동대문구 전농동,2**,8m미만,46.94,전세,202411,28,"40,000",0,1968.0,전농로17길,202411~202711,신규,-,,,단독,동대문구,동대문구 전농로17길,동대문구 전농로17길,37.5790010645205,127.055607918873,전농1동
13,서울특별시 노원구 공릉동,5**,8m미만,30.0,월세,202411,28,"15,000",13,2017.0,동일로178길,-,-,-,,,다가구,노원구,노원구 동일로178길,노원구 동일로178길,37.6213946758502,127.076222699576,공릉1동
14,서울특별시 서대문구 홍제동,2**,8m미만,39.08,전세,202411,28,"13,000",0,1992.0,통일로40안길,202411~202611,갱신,-,"13,000",0.0,다가구,서대문구,서대문구 통일로40안길,서대문구 통일로40안길,37.5909894049935,126.944196337925,홍제3동
15,서울특별시 용산구 청파동3가,1**,8m미만,15.0,월세,202411,28,"1,000",58,1990.0,청파로43길,202501~202701,신규,-,,,다가구,용산구,용산구 청파로43길,용산구 청파로43길,37.5436648016171,126.968658856357,청파동
16,서울특별시 용산구 후암동,4**,8m미만,54.0,월세,202411,28,"6,000",55,1971.0,소월로2나길,202501~202701,신규,-,,,단독,용산구,용산구 소월로2나길,용산구 소월로2나길,37.5536342084401,126.977517864876,후암동
